epoch	lr	loss	acc	val_loss	val_acc	time
259	7.8e-03	1.6566	0.8136	1.1466	0.8062	64
260	7.8e-03	1.6478	0.8159	1.1198	0.8102	64
261	7.8e-03	1.6433	0.8152	1.1268	0.8148	64
262	7.8e-03	1.6582	0.8119	1.1199	0.8133	64
263	7.8e-03	1.6490	0.8108	1.1544	0.8064	63
264	7.8e-03	1.6446	0.8155	1.1377	0.8060	64
265	7.8e-03	1.6425	0.8162	1.1327	0.8127	65
266	7.8e-03	1.6469	0.8130	1.1359	0.8077	64
267	7.8e-03	1.6523	0.8144	1.1338	0.8083	63
268	7.8e-03	1.6424	0.8139	1.1297	0.8115	63
269	7.8e-03	1.6367	0.8148	1.1239	0.8113	64
270	7.8e-03	1.6517	0.8110	1.1357	0.8061	63
271	7.8e-03	1.6452	0.8147	1.1323	0.8108	64
272	7.8e-03	1.6528	0.8140	1.1326	0.8126	63
273	7.8e-03	1.6413	0.8175	1.1510	0.8041	64
274	7.8e-03	1.6403	0.8170	1.1187	0.8091	63
275	7.8e-03	1.6454	0.8136	1.1426	0.8055	63
276	7.8e-03	1.6449	0.8104	1.1175	0.8179	65
277	7.8e-03	1.6459	0.8124	1.1234	0.8120	64
278	7.8e-03	1.6443	0.8145	1.1242	0.8106	62
279	7.8e-03	1.6496	0.8126	1.1339	0.8092	64
280	7.8e-03	1.6406	0.8169	1.1478	0.8073	63
281	7.8e-03	1.6364	0.8150	1.1253	0.8088	64
282	7.8e-03	1.6310	0.8189	1.1343	0.8101	63
283	7.8e-03	1.6457	0.8121	1.1343	0.8089	63
284	7.8e-03	1.6271	0.8175	1.1306	0.8089	63
285	7.8e-03	1.6301	0.8186	1.1574	0.8032	71
286	7.8e-03	1.6459	0.8120	1.1433	0.8035	61
287	7.8e-03	1.6400	0.8152	1.1326	0.8147	61
288	7.8e-03	1.6266	0.8215	1.1435	0.8081	61
289	7.8e-03	1.6355	0.8155	1.1340	0.8069	61
290	7.8e-03	1.6321	0.8180	1.1325	0.8103	61
291	7.8e-03	1.6237	0.8153	1.1496	0.8103	62
292	7.8e-03	1.6293	0.8172	1.1640	0.7999	61
293	7.8e-03	1.6457	0.8149	1.1521	0.8068	61
294	7.8e-03	1.6317	0.8189	1.1602	0.8030	61
295	7.8e-03	1.6214	0.8192	1.1326	0.8075	62
296	7.8e-03	1.6260	0.8161	1.1337	0.8087	61
297	7.8e-03	1.6294	0.8173	1.1297	0.8095	61
298	7.8e-03	1.6255	0.8159	1.1470	0.8062	62
299	7.8e-03	1.6332	0.8187	1.1439	0.8098	61
300	7.8e-03	1.6347	0.8182	1.1703	0.8050	62
