epoch	lr	loss	acc	val_loss	val_acc	delta_ema
149	1.0e-01	2.5117	0.6885	3.1425	0.5773	-0.01084
150	1.0e-01	2.5060	0.6893	2.9330	0.6048	-0.00926
151	1.0e-02	2.0851	0.7979	2.2907	0.7484	0.12833
152	1.0e-02	1.8621	0.8480	2.2245	0.7558	0.10774
153	1.0e-02	1.7556	0.8644	2.1721	0.7598	0.07350
154	1.0e-02	1.6670	0.8788	2.1249	0.7643	0.05359
155	1.0e-02	1.5886	0.8877	2.0883	0.7656	0.04361
156	1.0e-02	1.5204	0.8968	2.0547	0.7622	0.03569
157	1.0e-02	1.4597	0.9025	2.0252	0.7677	0.03131
158	1.0e-02	1.4003	0.9087	2.0199	0.7597	0.02736
159	1.0e-02	1.3404	0.9170	1.9797	0.7615	0.02740
160	1.0e-02	1.2976	0.9189	1.9572	0.7625	0.02390
161	1.0e-02	1.2377	0.9279	1.9137	0.7657	0.02490
162	1.0e-02	1.2025	0.9283	1.8921	0.7641	0.02005
163	1.0e-02	1.1584	0.9317	1.8639	0.7665	0.02025
164	1.0e-02	1.1148	0.9373	1.8757	0.7595	0.01877
165	1.0e-02	1.0850	0.9370	1.8417	0.7639	0.01640
166	1.0e-02	1.0515	0.9405	1.8334	0.7661	0.01508
167	1.0e-02	1.0154	0.9428	1.8188	0.7603	0.01589
168	1.0e-02	0.9844	0.9449	1.8086	0.7569	0.01393
169	1.0e-02	0.9586	0.9449	1.7766	0.7614	0.01177
170	1.0e-02	0.9389	0.9453	1.7654	0.7567	0.00966
171	1.0e-02	0.9062	0.9477	1.7675	0.7560	0.01230
172	1.0e-02	0.8868	0.9480	1.7581	0.7573	0.00908
173	1.0e-02	0.8624	0.9509	1.7237	0.7558	0.00959
174	1.0e-02	0.8418	0.9504	1.7719	0.7487	0.00725
175	1.0e-02	0.8281	0.9498	1.7204	0.7512	0.00777
176	1.0e-02	0.8158	0.9490	1.7158	0.7496	0.00521
177	1.0e-02	0.7940	0.9505	1.7287	0.7424	0.00579
178	1.0e-02	0.7877	0.9482	1.7090	0.7486	0.00421
179	1.0e-02	0.7720	0.9492	1.7311	0.7447	0.00375
180	1.0e-02	0.7592	0.9489	1.6896	0.7456	0.00554
181	1.0e-02	0.7500	0.9482	1.7358	0.7389	0.00424
182	1.0e-02	0.7451	0.9472	1.7288	0.7386	-0.00086
183	1.0e-02	0.7340	0.9488	1.7058	0.7429	0.00207
184	1.0e-02	0.7187	0.9506	1.7349	0.7407	0.00430
185	1.0e-02	0.7106	0.9501	1.7469	0.7322	0.00181
186	1.0e-02	0.7107	0.9474	1.6819	0.7389	-0.00084
187	1.0e-02	0.7064	0.9462	1.7195	0.7327	-0.00059
188	1.0e-02	0.7028	0.9462	1.7249	0.7325	-0.00096
189	1.0e-02	0.6931	0.9457	1.7064	0.7340	0.00039
190	1.0e-02	0.6902	0.9470	1.7070	0.7344	-0.00140
191	1.0e-02	0.6943	0.9422	1.7268	0.7335	-0.00354
192	1.0e-02	0.6890	0.9430	1.7463	0.7261	-0.00072
193	1.0e-02	0.6832	0.9443	1.6817	0.7313	-0.00041
194	1.0e-02	0.6818	0.9439	1.7267	0.7293	-0.00161
