epoch	lr	loss	acc	val_loss	val_acc	time
168	2.5e-02	0.9147	0.8619	0.3878	0.9539	177
169	2.5e-02	0.9115	0.8614	0.3925	0.9511	177
170	2.5e-02	0.9141	0.8626	0.3892	0.9517	177
171	2.5e-02	0.9116	0.8623	0.3864	0.9574	177
172	2.5e-02	0.9125	0.8629	0.3768	0.9545	177
173	2.5e-02	0.9092	0.8620	0.3841	0.9531	178
174	2.5e-02	0.8985	0.8661	0.3800	0.9550	178
175	2.5e-02	0.9102	0.8617	0.3810	0.9539	177
176	2.5e-02	0.9043	0.8617	0.3726	0.9554	177
177	2.5e-02	0.9055	0.8636	0.3836	0.9565	178
178	2.5e-02	0.9016	0.8659	0.3851	0.9562	177
179	2.5e-02	0.9038	0.8645	0.3764	0.9563	177
180	2.5e-02	0.9024	0.8633	0.3757	0.9568	177
181	2.5e-02	0.8955	0.8646	0.3810	0.9570	178
182	2.5e-02	0.8956	0.8651	0.3739	0.9560	177
183	2.5e-02	0.9005	0.8647	0.3871	0.9524	177
184	2.5e-02	0.8929	0.8685	0.3808	0.9537	177
185	2.5e-02	0.8940	0.8660	0.3605	0.9579	178
186	2.5e-02	0.8924	0.8667	0.3751	0.9550	177
187	2.5e-02	0.8906	0.8668	0.3654	0.9567	178
188	2.5e-02	0.8962	0.8649	0.3687	0.9556	178
189	2.5e-02	0.8927	0.8645	0.3897	0.9490	177
190	2.5e-02	0.8906	0.8641	0.3740	0.9552	178
191	2.5e-02	0.8909	0.8674	0.3641	0.9589	177
192	2.5e-02	0.8812	0.8685	0.3817	0.9505	177
193	2.5e-02	0.8853	0.8655	0.3621	0.9601	178
194	2.5e-02	0.8837	0.8667	0.3613	0.9580	177
195	2.5e-02	0.8828	0.8671	0.3695	0.9568	177
196	2.5e-02	0.8828	0.8690	0.3693	0.9543	177
197	2.5e-02	0.8787	0.8710	0.3627	0.9560	177
198	2.5e-02	0.8782	0.8695	0.3588	0.9593	177
199	2.5e-02	0.8728	0.8721	0.3610	0.9569	178
200	2.5e-02	0.8724	0.8716	0.3593	0.9559	178
201	2.5e-02	0.8796	0.8686	0.3684	0.9527	178
202	2.5e-02	0.8775	0.8701	0.3681	0.9530	177
203	2.5e-02	0.8739	0.8689	0.3579	0.9563	177
204	2.5e-02	0.8794	0.8692	0.3706	0.9538	178
205	2.5e-02	0.8717	0.8688	0.3613	0.9537	177
206	2.5e-02	0.8737	0.8687	0.3637	0.9546	177
207	2.5e-02	0.8776	0.8686	0.3566	0.9577	177
208	2.5e-02	0.8729	0.8702	0.3664	0.9553	177
209	2.5e-02	0.8719	0.8699	0.3565	0.9576	178
210	2.5e-02	0.8659	0.8690	0.3575	0.9580	178
211	2.5e-02	0.8694	0.8692	0.3603	0.9545	177
212	2.5e-02	0.8668	0.8716	0.3529	0.9571	178
213	2.5e-02	0.8722	0.8673	0.3587	0.9542	178
214	2.5e-02	0.8687	0.8686	0.3561	0.9532	178
215	2.5e-02	0.8640	0.8712	0.3528	0.9575	177
216	2.5e-02	0.8631	0.8722	0.3604	0.9562	178
217	2.5e-02	0.8643	0.8700	0.3593	0.9520	177
218	2.5e-02	0.8653	0.8719	0.3490	0.9568	178
219	2.5e-02	0.8606	0.8713	0.3527	0.9574	177
220	2.5e-02	0.8635	0.8719	0.3569	0.9549	177
221	2.5e-02	0.8551	0.8739	0.3464	0.9574	177
222	2.5e-02	0.8632	0.8712	0.3582	0.9570	177
223	2.5e-02	0.8559	0.8719	0.3485	0.9582	178
224	2.5e-02	0.8566	0.8721	0.3511	0.9550	177
225	2.5e-03	0.8528	0.8756	0.3427	0.9604	177
226	2.5e-03	0.8508	0.8766	0.3388	0.9605	178
227	2.5e-03	0.8403	0.8781	0.3374	0.9612	177
228	2.5e-03	0.8370	0.8807	0.3341	0.9624	177
229	2.5e-03	0.8340	0.8810	0.3394	0.9613	177
230	2.5e-03	0.8356	0.8781	0.3345	0.9625	178
231	2.5e-03	0.8347	0.8800	0.3347	0.9623	177
232	2.5e-03	0.8355	0.8802	0.3371	0.9607	178
233	2.5e-03	0.8340	0.8826	0.3267	0.9641	177
234	2.5e-03	0.8341	0.8814	0.3359	0.9629	178
235	2.5e-03	0.8281	0.8822	0.3451	0.9603	178
