epoch	lr	loss	acc	val_loss	val_acc	time
259	6.2e-04	0.4744	0.9476	1.1825	0.8205	485
260	6.2e-04	0.4729	0.9483	1.1018	0.8273	486
261	6.2e-04	0.4728	0.9467	1.1659	0.8237	485
262	6.2e-04	0.4760	0.9465	1.1115	0.8269	484
263	6.2e-04	0.4708	0.9475	1.1532	0.8209	484
264	6.2e-04	0.4750	0.9451	1.1132	0.8227	485
265	6.2e-04	0.4710	0.9467	1.1172	0.8269	484
266	6.2e-04	0.4632	0.9500	1.1107	0.8287	485
267	6.2e-04	0.4694	0.9478	1.1237	0.8288	485
268	6.2e-04	0.4622	0.9488	1.1364	0.8217	484
269	6.2e-04	0.4594	0.9484	1.1139	0.8291	485
270	6.2e-04	0.4582	0.9488	1.1115	0.8234	485
271	6.2e-04	0.4591	0.9490	1.1666	0.8208	485
272	6.2e-04	0.4568	0.9492	1.0976	0.8309	485
273	6.2e-04	0.4473	0.9519	1.0782	0.8313	485
274	6.2e-04	0.4526	0.9503	1.1350	0.8248	484
275	6.2e-04	0.4500	0.9500	1.1429	0.8227	484
276	6.2e-04	0.4520	0.9502	1.1146	0.8279	485
277	6.2e-04	0.4491	0.9506	1.1093	0.8296	485
278	6.2e-04	0.4484	0.9498	1.1335	0.8238	485
279	6.2e-04	0.4455	0.9506	1.1274	0.8225	484
280	6.2e-04	0.4467	0.9505	1.1057	0.8291	485
281	6.2e-04	0.4456	0.9512	1.1157	0.8251	485
282	6.2e-04	0.4418	0.9513	1.1126	0.8272	485
283	6.2e-04	0.4474	0.9506	1.1330	0.8236	486
284	6.2e-04	0.4450	0.9501	1.0830	0.8319	485
285	6.2e-04	0.4408	0.9519	1.1122	0.8228	485
286	6.2e-04	0.4407	0.9505	1.1011	0.8265	485
287	6.2e-04	0.4340	0.9527	1.1237	0.8260	484
288	6.2e-04	0.4315	0.9551	1.1023	0.8287	485
289	6.2e-04	0.4250	0.9540	1.1148	0.8242	484
290	6.2e-04	0.4269	0.9540	1.0953	0.8294	485
291	6.2e-04	0.4351	0.9525	1.1109	0.8288	486
292	6.2e-04	0.4266	0.9541	1.1368	0.8234	484
293	6.2e-04	0.4236	0.9546	1.1127	0.8217	484
294	6.2e-04	0.4304	0.9525	1.1231	0.8215	484
295	6.2e-04	0.4289	0.9519	1.1075	0.8299	485
296	6.2e-04	0.4300	0.9519	1.0835	0.8332	485
297	6.2e-04	0.4211	0.9548	1.1167	0.8210	485
298	6.2e-04	0.4233	0.9541	1.1294	0.8281	484
299	6.2e-04	0.4232	0.9539	1.0637	0.8331	485
300	6.2e-04	0.4159	0.9554	1.1232	0.8303	485
